STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
21;Putm;2;Putman;Charles;Mills;;;D3093-S;USA;;Espenlaub;Charles;Lutz;;;ITB-D1206-I;USA;;Lewis;Shane;Jupiter;;;ITC-D2334-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA ;CP Racing;PRO-AM                                                      ;Mercedes-AMG GT3;1;11:00:42.895;11:00:42.895;8:28.294;508,294;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.461;N;213;;43.723;J;232;;1:04.799;J;224;;10.491;N;264;;1:49.660;N;205;;36.097;J;242;;2:31.921;J;227;;20.636;J;258;;29.506;J;;;;N;;N;;N;8:27.845;18;N;0;;E2446-S     ;;1;0;0;0;0;1;1;8:27.845
21;Putm;2;Putman;Charles;Mills;;;D3093-S;USA;;Espenlaub;Charles;Lutz;;;ITB-D1206-I;USA;;Lewis;Shane;Jupiter;;;ITC-D2334-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA ;CP Racing;PRO-AM                                                      ;Mercedes-AMG GT3;2;11:09:10.812;11:09:10.812;8:27.917;507,917;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.381;J;212;;44.013;N;232;;1:04.847;N;228;;10.414;J;265;;1:49.368;J;201;;;N;;;;N;227;;20.718;N;258;;29.590;N;;;;N;;N;;N;8:27.845;18;N;0;;E2446-S     ;;2;0;0;0;0;1;2;8:27.845
24;Camp;1;Campbell;Matt;Stuttgart;;;1090587;Deut;;Jaminet;Mathieu;Differdange;;;219550;Luxe;;Kolb;Patrick;Bad Homburg;;;IC16042;Deut;;Pilet;Patrick;Noisy le Roi;;;54892;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);1;10:59:34.761;10:59:34.761;8:15.886;495,886;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.444;N;213;;42.447;J;232;;1:03.610;N;231;;10.445;N;265;;1:46.856;N;202;;35.874;N;240;;2:26.682;N;229;;20.594;N;258;;28.934;J;;;;N;;N;;N;8:12.677;2;N;0;;28196       ;;1;0;0;0;0;1;1;8:12.677
24;Camp;1;Campbell;Matt;Stuttgart;;;1090587;Deut;;Jaminet;Mathieu;Differdange;;;219550;Luxe;;Kolb;Patrick;Bad Homburg;;;IC16042;Deut;;Pilet;Patrick;Noisy le Roi;;;54892;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);2;11:07:47.631;11:07:47.631;8:12.870;492,870;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.209;J;212;;42.639;N;232;;1:03.120;J;231;;10.385;J;265;;1:46.080;J;202;;35.696;J;241;;2:25.318;J;230;;20.488;J;259;;28.935;N;;;;N;;N;;N;8:12.677;2;N;0;;28196       ;;2;0;0;0;0;1;2;8:12.677
25;Fetz;1;Fetzer;Dennis;Buseck;;;24514;Deut;;Kern;Lars;Wiernsheim;;;10338;Deut;;Dumas;Romain;Arzier;;;3434;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Huber Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);1;10:58:20.728;10:58:20.728;8:18.613;498,613;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.121;N;212;;43.095;N;232;;1:03.812;N;231;;10.354;N;265;;1:46.940;N;203;;36.161;N;241;;2:27.383;N;226;;20.668;J;254;;29.079;J;;;;N;;N;;N;8:17.161;14;N;0;;11275       ;;1;0;0;0;0;1;1;8:17.161
25;Fetz;1;Fetzer;Dennis;Buseck;;;24514;Deut;;Kern;Lars;Wiernsheim;;;10338;Deut;;Dumas;Romain;Arzier;;;3434;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Huber Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);2;11:06:37.936;11:06:37.936;8:17.208;497,208;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.659;J;211;;42.922;J;232;;1:03.456;J;233;;10.339;J;264;;1:46.756;J;203;;36.001;J;242;;2:27.281;J;225;;20.702;N;261;;29.092;N;;;;N;;N;;N;8:17.161;14;N;0;;11275       ;;2;0;0;0;0;1;2;8:17.161
27;Van ;1;Van der Linde;Kelvin;Kempten;;;int-b 03727;Deut;;Stuck;Fedinand;München;;;31289;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;1;10:58:42.957;10:58:42.957;8:18.970;498,970;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.714;N;215;;42.716;N;237;;1:04.264;N;222;;10.345;N;270;;1:47.294;N;204;;35.891;N;246;;2:28.279;N;226;;20.415;N;263;;29.052;N;;;;N;;N;;N;8:13.651;3;N;0;;23166       ;;1;0;0;0;0;1;1;8:13.651
27;Van ;1;Van der Linde;Kelvin;Kempten;;;int-b 03727;Deut;;Stuck;Fedinand;München;;;31289;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;2;11:06:56.608;11:06:56.608;8:13.651;493,651;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.411;J;216;;42.566;J;237;;1:03.319;J;230;;10.184;J;271;;1:46.396;J;206;;35.253;J;245;;2:26.413;J;230;;20.204;J;265;;28.905;J;;;;N;;N;;N;8:13.651;3;N;0;;23166       ;;2;0;0;0;0;1;2;8:13.651
30;Bamb;2;Bamber;Earl;Kuala Lumpur;;;N051713X;Mala;;Catsburg;Nicky;Voorthuizen;;;26501;Nied;J;Pittard;David;Nideggen;;;174582;Deut;;Fernandez Laser;Felipe;Leipzig;;;21860;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mala;Frikadelli Racing Team;PRO                                                         ;Ferrari 296 GT3;1;10:56:54.567;10:56:54.567;8:13.726;493,726;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.293;J;213;;42.740;N;231;;1:03.103;J;237;;10.264;N;265;;1:46.032;N;202;;35.940;J;236;;2:25.516;J;230;;20.560;J;258;;29.278;N;;;;N;;N;;N;8:13.138;4;N;0;;12230       ;;1;0;0;0;0;1;1;8:13.138
30;Bamb;2;Bamber;Earl;Kuala Lumpur;;;N051713X;Mala;;Catsburg;Nicky;Voorthuizen;;;26501;Nied;J;Pittard;David;Nideggen;;;174582;Deut;;Fernandez Laser;Felipe;Leipzig;;;21860;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mala;Frikadelli Racing Team;PRO                                                         ;Ferrari 296 GT3;2;11:05:08.325;11:05:08.325;8:13.758;493,758;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.317;N;213;;42.401;J;233;;1:03.123;N;237;;10.244;J;266;;1:46.022;J;201;;36.076;N;239;;2:25.932;N;229;;20.584;N;258;;29.059;J;;;;N;;N;;N;8:13.138;4;N;0;;12230       ;;2;0;0;0;0;1;2;8:13.138
