STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
21;Putm;Putman;Charles;Mills;;;D3093-S;USA;;Espenlaub;Charles;Lutz;;;ITB-D1206-I;USA;;Lewis;Shane;Jupiter;;;ITC-D2334-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA ;CP Racing;PRO-AM                                                      ;Mercedes-AMG GT3;1;11:00:42.895;11:00:42.895;8:28.294;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;508,294;E2446-S     ;2
21;Putm;Putman;Charles;Mills;;;D3093-S;USA;;Espenlaub;Charles;Lutz;;;ITB-D1206-I;USA;;Lewis;Shane;Jupiter;;;ITC-D2334-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA ;CP Racing;PRO-AM                                                      ;Mercedes-AMG GT3;2;11:09:10.812;11:09:10.812;8:27.917;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;507,917;E2446-S     ;2
24;Camp;Campbell;Matt;Stuttgart;;;1090587;Deut;;Jaminet;Mathieu;Differdange;;;219550;Luxe;;Kolb;Patrick;Bad Homburg;;;IC16042;Deut;;Pilet;Patrick;Noisy le Roi;;;54892;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);1;10:59:34.761;10:59:34.761;8:15.886;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,886;28196       ;1
24;Camp;Campbell;Matt;Stuttgart;;;1090587;Deut;;Jaminet;Mathieu;Differdange;;;219550;Luxe;;Kolb;Patrick;Bad Homburg;;;IC16042;Deut;;Pilet;Patrick;Noisy le Roi;;;54892;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);2;11:07:47.631;11:07:47.631;8:12.870;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;492,870;28196       ;1
25;Fetz;Fetzer;Dennis;Buseck;;;24514;Deut;;Kern;Lars;Wiernsheim;;;10338;Deut;;Dumas;Romain;Arzier;;;3434;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Huber Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);1;10:58:20.728;10:58:20.728;8:18.613;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,613;11275       ;1
25;Fetz;Fetzer;Dennis;Buseck;;;24514;Deut;;Kern;Lars;Wiernsheim;;;10338;Deut;;Dumas;Romain;Arzier;;;3434;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Huber Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);2;11:06:37.936;11:06:37.936;8:17.208;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;497,208;11275       ;1
27;Van ;Van der Linde;Kelvin;Kempten;;;int-b 03727;Deut;;Stuck;Fedinand;München;;;31289;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;1;10:58:42.957;10:58:42.957;8:18.970;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,970;23166       ;1
27;Van ;Van der Linde;Kelvin;Kempten;;;int-b 03727;Deut;;Stuck;Fedinand;München;;;31289;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;2;11:06:56.608;11:06:56.608;8:13.651;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;493,651;23166       ;1
30;Bamb;Bamber;Earl;Kuala Lumpur;;;N051713X;Mala;;Catsburg;Nicky;Voorthuizen;;;26501;Nied;J;Pittard;David;Nideggen;;;174582;Deut;;Fernandez Laser;Felipe;Leipzig;;;21860;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mala;Frikadelli Racing Team;PRO                                                         ;Ferrari 296 GT3;1;10:56:54.567;10:56:54.567;8:13.726;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;493,726;12230       ;2
30;Bamb;Bamber;Earl;Kuala Lumpur;;;N051713X;Mala;;Catsburg;Nicky;Voorthuizen;;;26501;Nied;J;Pittard;David;Nideggen;;;174582;Deut;;Fernandez Laser;Felipe;Leipzig;;;21860;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mala;Frikadelli Racing Team;PRO                                                         ;Ferrari 296 GT3;2;11:05:08.325;11:05:08.325;8:13.758;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;493,758;12230       ;2
