STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Verv;2;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;13:42:53.875;13:42:53.875;8:22.253;502,253;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.911;N;218;;44.575;N;231;;1:04.811;N;205;;10.915;N;262;;1:46.730;N;205;;35.521;N;244;;2:28.592;N;222;;20.484;N;263;;28.714;N;;;;N;;N;;N;8:13.018;12;N;0;;26780       ;;1;0;1;0;0;1;1;8:13.018
1;Verv;2;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;13:51:09.176;13:51:09.176;8:15.301;495,301;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.332;J;216;;43.025;J;231;;1:03.721;J;229;;10.274;J;271;;1:47.385;N;204;;35.395;J;245;;2:26.405;N;232;;20.215;N;264;;28.549;N;;;;N;;N;;N;8:13.018;12;N;0;;26780       ;;2;0;1;0;0;1;2;8:13.018
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;3;14:05:06.608;14:05:06.608;8:18.402;498,402;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.158;N;219;;43.084;N;230;;1:05.015;N;225;;10.441;N;267;;1:47.486;N;203;;35.650;N;242;;2:26.743;N;232;;20.159;N;264;;28.666;N;;;;N;;N;;N;8:13.018;12;N;0;;26780       ;;3;0;1;0;0;1;3;8:13.018
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;4;14:13:22.147;14:13:22.147;8:15.539;495,539;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.683;N;217;;43.927;N;231;;1:04.907;N;228;;10.353;N;269;;1:45.830;J;204;;35.398;N;244;;2:26.194;J;233;;19.922;J;268;;28.325;J;;;;N;;N;;N;8:13.018;12;N;0;;26780       ;;4;0;1;0;0;2;1;8:13.018
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;5;14:28:01.058;14:28:01.058;9:18.324;558,324;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.694;N;217;;43.137;N;231;;1:30.517;N;212;;10.797;N;262;;1:48.076;N;204;;35.717;N;244;;2:28.704;N;229;;25.786;N;57;;53.896;N;;;;N;;N;;N;8:13.018;12;N;0;;26780       ;;5;0;1;0;0;2;2;8:13.018
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;6;14:36:48.203;14:36:48.203;8:47.145;527,145;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.580;N;217;;43.491;N;230;;1:07.296;N;181;;11.527;N;256;;2:09.324;N;205;;35.727;N;244;;2:29.007;N;228;;20.269;N;266;;28.924;N;;;;N;;N;;N;8:13.018;12;N;0;;26780       ;;6;0;1;0;0;3;1;8:13.018
2;Chri;3;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;13:47:00.195;13:47:00.195;8:13.691;493,691;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.162;J;219;;42.817;J;230;;1:02.773;J;228;;10.258;J;268;;1:46.433;J;203;;35.370;N;247;;2:27.058;J;225;;20.373;N;264;;28.447;N;;;;N;;N;;N;8:13.105;4;N;0;;28206       ;;1;0;1;0;0;1;1;8:13.105
2;Chri;3;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;14:00:45.557;14:00:45.557;8:17.829;497,829;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.002;N;217;;43.665;N;232;;1:04.076;N;228;;10.293;N;267;;1:46.793;N;206;;35.184;J;247;;2:27.318;N;230;;20.146;N;268;;28.352;J;;;;N;;N;;N;8:13.105;4;N;0;;28206       ;;2;0;1;0;0;1;2;8:13.105
2;Chri;2;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;14:14:51.092;14:14:51.092;8:25.179;505,179;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.418;N;219;;45.229;N;231;;1:04.289;N;220;;10.503;N;265;;1:48.797;N;200;;35.518;N;250;;2:30.341;N;227;;20.161;N;268;;28.923;N;;;;N;;N;;N;8:13.105;4;N;0;;28206       ;;3;0;1;0;0;2;1;8:13.105
2;Chri;2;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;14:23:21.080;14:23:21.080;8:29.988;509,988;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.734;N;219;;43.533;N;234;;1:15.316;N;209;;10.666;N;264;;1:47.948;N;205;;35.417;N;246;;2:27.763;N;231;;20.068;J;267;;28.543;N;;;;N;;N;;N;8:13.105;4;N;0;;28206       ;;4;0;1;0;0;3;1;8:13.105
