STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
1;Verv;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;19:40:02.936;19:40:02.936;8:11.643;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;491,643;26780       ;1
1;Verv;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;19:48:15.401;19:48:15.401;8:12.465;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;492,465;26780       ;1
2;Chri;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;19:36:22.963;19:36:22.963;8:12.408;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;492,408;28206       ;2
2;Chri;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;19:44:34.787;19:44:34.787;8:11.824;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;491,824;28206       ;2
3;Enge;Engel;Maro;Monaco;;;ITC-B11293;Mona;J;Gounon;Jules;Anyos;;;ITC-A001AND;Ando;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mona;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;19:39:13.869;19:39:13.869;8:09.480;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;489,480;28206       ;1
3;Enge;Engel;Maro;Monaco;;;ITC-B11293;Mona;J;Gounon;Jules;Anyos;;;ITC-A001AND;Ando;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mona;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;19:47:29.868;19:47:29.868;8:15.999;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,999;28206       ;1
4;Marc;Marciello;Raffaele;Berganzona;;;ITC-A567;Schw;J;Stolz;Luca;Brachbach;;;ITC-C10277;Deut;J;Ellis;Philip;Baar;;;ITC-B462;Schw;J;Mortara;Edoardo;Geneva;;;ITC-A733;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;1;19:40:21.978;19:40:21.978;8:09.058;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;489,058;26772       ;1
4;Marc;Marciello;Raffaele;Berganzona;;;ITC-A567;Schw;J;Stolz;Luca;Brachbach;;;ITC-C10277;Deut;J;Ellis;Philip;Baar;;;ITC-B462;Schw;J;Mortara;Edoardo;Geneva;;;ITC-A733;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;2;19:48:33.617;19:48:33.617;8:11.639;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;491,639;26772       ;1
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;19:38:58.604;19:38:58.604;8:11.024;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;491,024;26779       ;2
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;19:47:10.911;19:47:10.911;8:12.307;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;492,307;26779       ;2
