STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
5;Kolb;Kolb;Vincent;FRAkfurt;;;ITC-C15471;DEU;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;DEU;;Sims;Alexander;Alcester;;;ITC-A100396;GBR;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;NLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;12:58:41.544;12:58:41.544;8:38.848;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;518,848;26779       ;1
6;Haup;Haupt;Hubert;München;;;ITC-B10328;DEU;;Love;Jordan;Perth;;;ITC-C1133481;AUS;;Maini;Arjun;;;;INTA-4A23IRC003;NLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;1;12:52:12.283;12:52:12.283;8:29.374;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;509,374;26772       ;2
6;Haup;Haupt;Hubert;München;;;ITC-B10328;DEU;;Love;Jordan;Perth;;;ITC-C1133481;AUS;;Maini;Arjun;;;;INTA-4A23IRC003;NLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;2;13:06:56.086;13:06:56.086;8:26.895;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;506,895;26772       ;1
6;Haup;Haupt;Hubert;München;;;ITC-B10328;DEU;;Love;Jordan;Perth;;;ITC-C1133481;AUS;;Maini;Arjun;;;;INTA-4A23IRC003;NLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;3;13:29:41.137;13:29:41.137;22:45.051;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;1365,051;26772       ;1
16;Schr;Schramm;Kim Luis;Ilmenau;;;ITC-C20104;DEU;J;Beretta;Michele;Milano;;;ITC-B347027;ITA;;Winkelhock;Markus;Zdimerice;;;ITC-C11937;CZE;;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;12:56:27.529;12:56:27.529;8:27.853;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;507,853;26779       ;1
16;Schr;Schramm;Kim Luis;Ilmenau;;;ITC-C20104;DEU;J;Beretta;Michele;Milano;;;ITC-B347027;ITA;;Winkelhock;Markus;Zdimerice;;;ITC-C11937;CZE;;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;13:04:47.307;13:04:47.307;8:19.778;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;499,778;26779       ;1
16;Schr;Schramm;Kim Luis;Ilmenau;;;ITC-C20104;DEU;J;Beretta;Michele;Milano;;;ITC-B347027;ITA;;Winkelhock;Markus;Zdimerice;;;ITC-C11937;CZE;;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;3;13:20:05.963;13:20:05.963;8:24.127;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;504,127;26779       ;2
19;Kohl;Kohlhaas;Christian;Andernach;;;ITC-C24876;DEU;;Aust;Stefan;Münster;;;ITC-C10415;DEU;;Ludwig;Luca;Alfter;;;ITC-C24928;DEU;;Stengel;Johannes;Stadtlohn;;;ITC-C33246;DEU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;racing one;PRO-AM                                                      ;Ferrari 296 GT3;1;13:09:37.117;13:09:37.117;8:36.946;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;516,946;15750       ;2
19;Kohl;Kohlhaas;Christian;Andernach;;;ITC-C24876;DEU;;Aust;Stefan;Münster;;;ITC-C10415;DEU;;Ludwig;Luca;Alfter;;;ITC-C24928;DEU;;Stengel;Johannes;Stadtlohn;;;ITC-C33246;DEU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;racing one;PRO-AM                                                      ;Ferrari 296 GT3;2;13:18:10.280;13:18:10.280;8:33.163;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;513,163;15750       ;2
24;Kolb;Kolb;Patrick;Bad Homburg;;;ITC-C16042;DEU;;Matt;Campbell;Stuttgart;;;ITC-C1090587;DEU;;Jaminet;Mathieu;Differdange;;;ITC-C219550;LUX;;Pilet;Patrick;Noisy le Roi;;;ITC-B54892;FRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);1;13:05:07.528;13:05:07.528;8:32.329;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;512,329;28196       ;2
24;Kolb;Kolb;Patrick;Bad Homburg;;;ITC-C16042;DEU;;Matt;Campbell;Stuttgart;;;ITC-C1090587;DEU;;Jaminet;Mathieu;Differdange;;;ITC-C219550;LUX;;Pilet;Patrick;Noisy le Roi;;;ITC-B54892;FRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);2;13:16:58.586;13:16:58.586;11:51.058;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;711,058;28196       ;1
24;Kolb;Kolb;Patrick;Bad Homburg;;;ITC-C16042;DEU;;Matt;Campbell;Stuttgart;;;ITC-C1090587;DEU;;Jaminet;Mathieu;Differdange;;;ITC-C219550;LUX;;Pilet;Patrick;Noisy le Roi;;;ITC-B54892;FRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);3;13:31:19.324;13:31:19.324;8:56.751;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;536,751;28196       ;4
25;Fetz;Fetzer;Dennis;Buseck;;;ITC-C24514;DEU;;Ledogar;Come;Pusignan;;;ITC-BICCB195977;FRA;;Kern;Lars;Wiernsheim;;;ITC-B10338;DEU;;Dumas;Romain;;;;ITC-A3434;FRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Huber Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);1;13:02:14.835;13:02:14.835;12:50.307;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;770,307;11275       ;1
27;Van ;Van der Linde;Kelvin;Kempten;;;ITC-B03727;DEU;;Mapelli;Marco;Lugano;;;ITC-B317;CHE;;Pepper;Jordan;Bromley;;;ITC-B04582;GBR;;Thiim;Nicki;Anif;;;ITC-C02368;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;1;13:13:20.973;13:13:20.973;13:41.058;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;821,058;23166       ;4
33;Bach;Bachler;Klaus;Unzmarkt;;;ITC-CJA1030;AUT;;Müller;Sven;Ockenheim;;;ITC-C11220;DEU;;Picariello;Alessio;Forchies-la-Marche;;;ITC-B901589;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);1;13:01:28.734;13:01:28.734;8:21.075;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;501,075;22213       ;2
