INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0001;4;Marc;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Marciello;Raffaele;Berganzona;;;ITC-A567;Schw;J;Stolz;Luca;Brachbach;;;ITC-C10277;Deut;J;Ellis;Philip;Baar;;;ITC-B462;Schw;J;Mortara;Edoardo;Geneva;;;ITC-A733;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;29:31.591;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;1;1;;;1;;;2;8:09.058;8:09.058;N;;;;;19:40:21;432;19:40:21;186.810;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.00;8:11.639;;;;;;00.000;19.;1.;;26772       ;Mercedes-AMG                  ;1;;;1;1;1;0;
0002;3;Enge;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Engel;Maro;Monaco;;;ITC-B11293;Mona;J;Gounon;Jules;Anyos;;;ITC-A001AND;Ando;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;28:27.842;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;2;00.422;+00.422;2;00.422;+00.422;2;8:09.480;8:09.480;Y;00.422;00.422;;;19:39:13;397;19:39:13;186.649;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.09 ;8:15.999;;;;;;00.000;5.;15.;;28206       ;Mercedes-AMG                  ;1;;;1;1;1;0;
0003;27;Van ;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Van der Linde;Kelvin;Kempten;;;ITC-B03727;Deut;;Mapelli;Marco;Lugano;;;ITC-B317;Schw;;Pepper;Jordan;Bromley;;;ITC-B04582;Groß;;Thiim;Nicki;Anif;;;ITC-C02368;Öste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;27:17.286;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;3;3;01.440;+01.018;3;01.440;+01.018;2;8:10.498;8:10.498;N;01.440;01.018;;;19:46:19;546;19:46:19;186.261;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.29 ;8:10.498;;;;;;00.000;7.;13.;;23166       ;Lamborghini                   ;1;;;0;0;1;0;
0004;30;Bamb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Bamber;Earl;Kuala Lumpur;;;ITC-A051713X;Mala;J;Catsburg;Nick;Voorthuizen;;;ITC-B26501;Nied;;Pittard;David;Nideggen;;;ITC-B174582;Deut;;Fernandez Laser;Felipe;Leipzig;;;ITC-A21860;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;2;25:47.534;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Frikadelli Racing Team;PRO                                                         ;Ferrari 296 GT3;4;4;01.460;+00.020;4;01.460;+00.020;2;8:10.518;8:10.518;Y;01.460;00.020;;;19:36:33;333;19:36:33;186.254;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.30 ;8:15.963;1;3;;0;;00.000;2.;18.;;12230       ;Ferrari                       ;2;;;1;1;1;0;
0005;5;Kolb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;2;28:08.885;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;5;5;01.966;+00.506;5;01.966;+00.506;2;8:11.024;8:11.024;N;01.966;00.506;;;19:38:58;388;19:38:58;186.062;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.40 ;8:12.307;;;;;;00.000;12.;8.;;26779       ;Audi                          ;2;;;0;0;1;0;
0006;44;Erik;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Eriksson;Joel;Tomelilla;;;ITC-A7772;Schw;;Heinemann;Tim;Fichtenberg;;;ITC-C24805;Deut;;Menzel;Nico;Kelberg;;;ITC-C13283;Deut;J;Ragginger;Martin;Wals;;;ITC-BJA1113;Öste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;2;27:37.819;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);6;6;02.153;+00.187;6;02.153;+00.187;2;8:11.211;8:11.211;N;02.153;00.187;;;19:38:26;370;19:38:26;185.991;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.44 ;8:13.556;;;;;;00.000;9.;11.;;22213       ;Porsche                       ;3;;;0;0;1;0;
0007;6;Haup;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;2;27:52.151;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;7;7;02.253;+00.100;7;02.253;+00.100;2;8:11.311;8:11.311;N;02.253;00.100;;;19:38:36;373;19:38:36;185.953;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.46 ;8:17.971;;;;;;00.000;10.;10.;;26772       ;Mercedes-AMG                  ;3;;;0;0;1;0;
0008;1;Verv;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;29:13.375;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;8;8;02.585;+00.332;8;02.585;+00.332;2;8:11.643;8:11.643;N;02.585;00.332;;;19:40:02;425;19:40:02;185.828;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.53 ;8:12.465;;;;;;00.000;15.;5.;;26780       ;Audi                          ;1;;;0;0;1;0;
0009;16;Schr;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Schramm;Kim Luis;Ilmenau;;;ITC-C20104;Deut;J;Beretta;Michele;Milano;;;ITC-B347027;Ital;;Winkelhock;Markus;Zdimerice;;;ITC-C11937;Tsch;;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;2;26:02.366;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;9;9;02.650;+00.065;9;02.650;+00.065;2;8:11.708;8:11.708;N;02.650;00.065;;;19:45:04;527;19:45:04;185.803;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.54 ;8:11.708;1;3;;0;;00.000;4.;16.;;26779       ;Audi                          ;3;;;0;0;1;0;
0010;2;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;2;25:32.761;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;10;10;02.766;+00.116;10;02.766;+00.116;2;8:11.824;8:11.824;N;02.766;00.116;;;19:44:34;516;19:44:34;185.759;;19;0;19;0;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;;1;19;19;0;4;8:09.058;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;Marciello/Stolz Luca/Ellis Philip/Mortara Edoardo;186.810;100.57 ;8:11.824;1;3;;0;;00.000;3.;17.;;28206       ;Mercedes-AMG                  ;2;;;1;1;1;0;
