STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;19:40:02.936;19:40:02.936;8:11.643;491,643;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.266;N;216;;42.806;N;229;;1:03.387;J;229;;10.309;N;270;;1:45.472;J;203;;35.418;J;244;;2:25.435;J;232;;20.076;J;267;;28.474;J;;;;N;;N;;N;8:11.544;8;N;0;;26780       ;;1;0;1;0;0;1;1;8:11.544
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;19:48:15.401;19:48:15.401;8:12.465;492,465;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.234;J;216;;42.781;J;230;;1:03.520;N;230;;10.267;J;271;;1:45.681;N;203;;35.459;N;244;;2:25.834;N;231;;20.080;N;266;;28.609;N;;;;N;;N;;N;8:11.544;8;N;0;;26780       ;;2;0;1;0;0;1;2;8:11.544
2;Chri;2;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;19:36:22.963;19:36:22.963;8:12.408;492,408;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.111;N;219;;42.456;N;231;;1:03.176;J;228;;10.291;J;268;;1:46.132;N;206;;35.326;N;247;;2:26.381;N;233;;20.041;J;267;;28.494;N;;;;N;;N;;N;8:11.730;10;N;0;;28206       ;;1;0;1;0;0;1;1;8:11.730
2;Chri;2;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;19:44:34.787;19:44:34.787;8:11.824;491,824;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;39.936;J;219;;42.383;J;231;;1:03.239;N;227;;10.319;N;267;;1:46.015;J;206;;35.315;J;246;;2:26.102;J;233;;20.044;N;267;;28.471;J;;;;N;;N;;N;8:11.730;10;N;0;;28206       ;;2;0;1;0;0;1;2;8:11.730
3;Enge;1;Engel;Maro;Monaco;;;ITC-B11293;Mona;J;Gounon;Jules;Anyos;;;ITC-A001AND;Ando;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mona;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;19:39:13.869;19:39:13.869;8:09.480;489,480;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;39.936;J;219;;42.441;J;230;;1:02.984;J;230;;10.286;N;268;;1:45.467;J;206;;35.300;J;246;;2:24.746;J;233;;20.041;J;267;;28.279;J;;;;N;;N;;N;8:09.432;2;N;0;;28206       ;;1;0;1;0;0;1;1;8:09.432
3;Enge;1;Engel;Maro;Monaco;;;ITC-B11293;Mona;J;Gounon;Jules;Anyos;;;ITC-A001AND;Ando;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mona;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;19:47:29.868;19:47:29.868;8:15.999;495,999;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.057;N;218;;42.587;N;231;;1:03.028;N;230;;10.238;J;270;;1:46.842;N;205;;35.535;N;239;;2:28.484;N;233;;20.265;N;264;;28.963;N;;;;N;;N;;N;8:09.432;2;N;0;;28206       ;;2;0;1;0;0;1;2;8:09.432
4;Marc;1;Marciello;Raffaele;Berganzona;;;ITC-A567;Schw;J;Stolz;Luca;Brachbach;;;ITC-C10277;Deut;J;Ellis;Philip;Baar;;;ITC-B462;Schw;J;Mortara;Edoardo;Geneva;;;ITC-A733;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;1;19:40:21.978;19:40:21.978;8:09.058;489,058;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;39.905;J;219;;42.314;J;231;;1:03.068;N;228;;10.252;J;269;;1:45.123;J;206;;35.131;N;247;;2:25.200;J;235;;19.903;J;268;;28.162;J;;;;N;;N;;N;8:08.879;1;N;0;;26772       ;;1;0;1;0;0;1;1;8:08.879
4;Marc;1;Marciello;Raffaele;Berganzona;;;ITC-A567;Schw;J;Stolz;Luca;Brachbach;;;ITC-C10277;Deut;J;Ellis;Philip;Baar;;;ITC-B462;Schw;J;Mortara;Edoardo;Geneva;;;ITC-A733;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;2;19:48:33.617;19:48:33.617;8:11.639;491,639;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;39.964;N;219;;42.423;N;232;;1:03.004;J;224;;10.331;N;267;;1:45.912;N;206;;35.016;J;249;;2:26.387;N;235;;20.000;N;267;;28.602;N;;;;N;;N;;N;8:08.879;1;N;0;;26772       ;;2;0;1;0;0;1;2;8:08.879
5;Kolb;2;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;19:38:58.604;19:38:58.604;8:11.024;491,024;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.191;J;217;;42.762;J;229;;1:03.444;J;229;;10.320;N;269;;1:45.442;J;203;;35.372;J;244;;2:24.949;J;231;;20.080;J;267;;28.464;N;;;;N;;N;;N;8:10.934;5;N;0;;26779       ;;1;0;1;0;0;1;1;8:10.934
5;Kolb;2;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;19:47:10.911;19:47:10.911;8:12.307;492,307;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.465;N;216;;42.872;N;229;;1:03.546;N;229;;10.298;J;270;;1:45.532;N;203;;35.457;N;244;;2:25.607;N;230;;20.134;N;265;;28.396;J;;;;N;;N;;N;8:10.934;5;N;0;;26779       ;;2;0;1;0;0;1;2;8:10.934
