INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER1_SPONSORLIZENZ;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER2_SPONSORLIZENZ;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER3_SPONSORLIZENZ;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER4_SPONSORLIZENZ;FAHRER4_RUNDEN;FAHRER4_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0001;98;Cats;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Catsburg;Nicky;Enschede;;INTB NL26501;NLD;J;;9;2:07:37.683;Edwards;John;Charlotte, NC;;D2481-I-22 A;USA;J;;;00.000;van der Linde;Sheldon;Kempten;;INT-B07371;DEU;J;;6;29:17:01.753;Wittmann;Marco;Fürth;;ITA1048616;DEU;J;;;00.000;    ;ROWE RACING;PRO                                                         ;BMW M4 GT3;1;1;;;1;;;26;8:14.771;8:14.771;Y;;;;;13:37:25;9545;13:37:25;184.653;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.00;8:44.105;14;0;;0;;;;;8:14.771;            ;BMW                           ;1;;;0;0;1;0;
0002;101;Krog;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Krognes;Christian;Hamar;;ITC-C31791;NOR;J;;;00.000;Soucek;Andy;Barcelona;;ITB0396-ESP;ESP;J;;6;1:00:53.361;Trogen;Sami-Matti;Lohja;;IC34736337;FIN;J;;3;30:12:10.525;Müller;Jörg;Tägerwilen;;ITA1057990;DEU;J;;;00.000;;Walkenhorst Motorsport;PRO                                                         ;BMW M4 GT3;2;2;01.165;+01.165;2;01.165;+01.165;21;8:15.936;8:15.936;N;01.165;01.165;;;13:37:26;9546;13:37:26;184.219;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.24 ;8:22.560;12;0;;0;;;;;8:15.936;            ;BMW                           ;2;;;0;0;1;0;
0003;27;Andl;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Andlauer;Julien;Dubai;;ICCB256472;FRA;;;;00.000;Campbell;Matt;Stuttgart;;1090587;DEU;J;;;00.000;Jaminet;Matthieu;Differdange;;ICCB 219550;LUX;J;;6;29:55:22.465;;;;;;;;;;00.000;    ;Toksport WRT;PRO                                                         ;Porsche 911 GT3R (991 II);3;3;01.196;+00.031;3;01.196;+00.031;17;8:15.967;8:15.967;Y;01.196;00.031;;;14:41:47;3695;14:41:47;184.207;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.24 ;8:15.967;14;0;;0;;;;;8:19.265;Julien Andla;Porsche                       ;3;;;0;0;1;0;
0004;55;Asse;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Assenheimer;Patrick;Weinsberg;;ITB1137122;DEU;J;;9;31:05:29.014;Trefz;Luca-Sandro;Wüstenrot;;ITC-C1174766;DEU;J;;;00.000;Baumann;Dominik;Rum;;JA1061;AUT;J;;;00.000;Apothéloz;Julien;Gockhausen;;377;CHE;J;;;00.000;    ;Mercedes-AMG Team Landgraf;PRO-AM                                                      ;Mercedes-AMG GT3;4;4;01.289;+00.093;4;01.289;+00.093;19;8:16.060;8:16.060;N;01.289;00.093;;;15:05:09;6221;15:05:09;184.173;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.26 ;8:16.060;13;0;;0;;;;;8:21.384;            ;Mercedes-AMG                  ;1;;;0;0;1;0;
0005;12;Marc;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Marciello;Raffaele;Breganzona;;567;CHE;;;;00.000;Ellis;Philip;Baar;;462;CHE;J;;6;30:15:44.593;Stolz;Luca;Brachbach;;ITB1101813;DEU;J;;3;56:14.925;;;;;;;;;;00.000;;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;5;5;01.405;+00.116;5;01.405;+00.116;19;8:16.176;8:16.176;N;01.405;00.116;;;21:17:09;6717;21:17:09;184.130;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.28 ;8:16.253;11;0;;0;;;;;8:16.176;by HRT      ;Mercedes-AMG                  ;3;;;0;0;1;0;
0006;44;Bach;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Bachler;Klaus;Unzmarkt;;IT-CJA1030;AUT;J;;9;1:47:58.683;Picariello;Alessio;Forchies-la-Marche;;ITB901589;BEL;J;;6;29:51:31.285;Pilet;Patrick;Noisy le Roi;;ICCB 54892;FRA;J;;;00.000;Ragginger;Martin;Wals;;IT-BJA1113;AUT;J;;;00.000;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);6;6;01.489;+00.084;6;01.489;+00.084;23;8:16.260;8:16.260;N;01.489;00.084;;;14:40:30;3531;14:40:30;184.099;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.30 ;8:45.882;13;0;;0;;;;;8:21.636;            ;Porsche                       ;1;;;0;0;1;0;
0007;5;Kolb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Kolb;Vincent;Frankfurt;;ITC-C1138981;DEU;J;;;00.000;Stippler;Frank;Bad Münstereifel;;ITC-C1039089;DEU;J;;6;1:08:39.693;Feller;Ricardo;Bözberg;;1239;CHE;J;;9;29:41:48.178;Van der Linde;Kelvin;Kempten;;INT-B 03727;DEU;J;;;00.000;;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;7;7;01.647;+00.158;7;01.647;+00.158;25;8:16.418;8:16.418;N;01.647;00.158;;;14:37:16;3166;14:37:16;184.040;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.33 ;8:28.219;10;0;;0;;;;;8:23.590;            ;Audi                          ;2;;;0;0;1;0;
0008;7;Jeff;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Jefferies;Axcil;Montabaur;;INT A 1370/22;DEU;J;;;00.000;Pepper;Jordan;London;;INT B 04582;GBR;J;;6;30:21:49.687;Di Martino;Michele;Eitorf;;ITC-C1075806;DEU;J;;;00.000;Hackländer;Maximilian;Rüthen;;ITC-C1118702;DEU;J;;;00.000;;Konrad Motorsport GmbH;PRO-AM                                                      ;Lamborghini Huracan GT3;8;8;01.678;+00.031;8;01.678;+00.031;15;8:16.449;8:16.449;N;01.678;00.031;;;14:50:36;4736;14:50:36;184.029;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.34 ;8:16.449;10;0;;0;;;;;8:26.290;            ;Lamborghini                   ;2;;;0;0;1;0;
0009;116;Kofl;SP-X                                                        ;0000SP-X                                                        ;SP-X;;1;1;Kofler;Reinhard;Attnang-Puchheim;;IT-CJA1807;AUT;J;;;00.000;Siljehaug;Mads;Surheim;;itb NO40092;DEU;J;;;00.000;Hofer;Max;Perchtolsdorf;;ITCJA2669;AUT;J;;;00.000;Heinemann;Tim;Fichtenberg;;ITC-C1141287;DEU;J;;6;31:09:56.563;    ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;9;1;;;9;02.058;+00.380;16;8:16.829;8:16.829;Y;02.058;00.380;;;15:06:38;6353;15:06:38;183.888;;3;0;3;0;0;116;8:16.829;Kofler/Siljehaug/Hofer/Heinemann;Kofler/Siljehaug/Hofer/Heinemann;183.888;9:56.194;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.42 ;8:16.829;11;0;;0;;;;;8:19.385;            ;KTM                           ;4;;;0;1;1;0;
0010;22;Haas;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Haase;Christopher;Kulmbach;;ITA1113842;DEU;J;;6;1:18:46.482;Müller;Nico;Blumenstein;;498;CHE;J;;;00.000;Niederhauser;Patric;Kehrsatz;;IT-B1358;CHE;J;;;00.000;Rast;René;Bregenz;;ITA1046542;AUT;J;;6;30:16:24.454;;Audi Sport Team Car Collection;PRO                                                         ;Audi R8 LMS GT3 Evo II;10;9;02.621;+00.943;10;02.621;+00.563;22;8:17.392;8:17.392;N;02.621;00.563;;;15:02:49;6009;15:02:49;183.680;;33;0;33;0;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;9:53.725;1;68;68;0;98;8:14.771;Catsburg/Edwards/van der Linde/Wittmann;Catsburg/Edwards/van der Linde/Wittmann;184.653;100.53 ;8:44.719;13;0;;0;;;;;8:17.879;Lionspeed by;Audi                          ;1;;;0;0;1;0;
