STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_LIZENZ;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_LIZENZ;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_LIZENZ;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_LIZENZ;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);1;13:00:47.760;13:00:47.760;8:22.198;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;502,198;            ;2
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);2;13:09:14.449;13:09:14.449;8:26.689;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;506,689;            ;2
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);3;13:29:52.644;13:29:52.644;8:32.158;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;512,158;            ;4
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);4;13:38:13.128;13:38:13.128;8:20.484;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;500,484;            ;4
3;Chri;Christodoulou;Adam;ITB 100838;Götz;Maximilian;ITB1045239;Schiller;Fabian;ITC-C1127224;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;13:01:30.655;13:01:30.655;8:39.005;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;519,005;            ;3
3;Chri;Christodoulou;Adam;ITB 100838;Götz;Maximilian;ITB1045239;Schiller;Fabian;ITC-C1127224;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;13:10:04.788;13:10:04.788;8:34.133;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;514,133;            ;3
3;Chri;Christodoulou;Adam;ITB 100838;Götz;Maximilian;ITB1045239;Schiller;Fabian;ITC-C1127224;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;13:26:44.503;13:26:44.503;8:27.263;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;507,263;            ;3
3;Chri;Christodoulou;Adam;ITB 100838;Götz;Maximilian;ITB1045239;Schiller;Fabian;ITC-C1127224;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;13:35:08.993;13:35:08.993;8:24.490;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;504,490;            ;3
4;Enge;Engel;Maro;ITB1048870;Gounon;Jules;ICCB219548;Juncadella;Daniel;ITA-0023-ESP;;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;12:47:28.171;12:47:28.171;12:29.072;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;749,072;            ;1
4;Enge;Engel;Maro;ITB1048870;Gounon;Jules;ICCB219548;Juncadella;Daniel;ITA-0023-ESP;;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;12:55:47.471;12:55:47.471;8:19.300;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;499,300;            ;1
