STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_LIZENZ;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_LIZENZ;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_LIZENZ;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_LIZENZ;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
102;Müll;Müller;Jörg;ITA1057990;von Bohlen;Mario;ITC1188337;Tuck;Ben;ITC-C223823;Schmidt-Staade;Jörn;ITC-C1075159;DEU ;Walkenhorst Motorsport;PRO-AM                                                      ;BMW M4 GT3;2;14:50:05.387;14:50:05.387;8:45.950;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;525,950;            ;2
102;Müll;Müller;Jörg;ITA1057990;von Bohlen;Mario;ITC1188337;Tuck;Ben;ITC-C223823;Schmidt-Staade;Jörn;ITC-C1075159;DEU ;Walkenhorst Motorsport;PRO-AM                                                      ;BMW M4 GT3;3;15:04:24.676;15:04:24.676;8:42.098;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;522,098;            ;4
102;Müll;Müller;Jörg;ITA1057990;von Bohlen;Mario;ITC1188337;Tuck;Ben;ITC-C223823;Schmidt-Staade;Jörn;ITC-C1075159;DEU ;Walkenhorst Motorsport;PRO-AM                                                      ;BMW M4 GT3;4;15:13:40.568;15:13:40.568;9:15.892;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;555,892;            ;4
109;Caba;Caba;Ralph;ITC-C1100342;Sprungmann;Oliver;ITC-C1081906;Mohr;Michael;ITC-C1042873;;;;DEU ;;PRO-AM                                                      ;Ford Mustang GT;1;14:24:27.552;14:24:27.552;10:27.185;N;AT                                                          ;0000AT                                                          ;;AT      ;627,185;            ;3
109;Caba;Caba;Ralph;ITC-C1100342;Sprungmann;Oliver;ITC-C1081906;Mohr;Michael;ITC-C1042873;;;;DEU ;;PRO-AM                                                      ;Ford Mustang GT;2;14:34:52.811;14:34:52.811;10:25.259;N;AT                                                          ;0000AT                                                          ;;AT      ;625,259;            ;3
109;Caba;Caba;Ralph;ITC-C1100342;Sprungmann;Oliver;ITC-C1081906;Mohr;Michael;ITC-C1042873;;;;DEU ;;PRO-AM                                                      ;Ford Mustang GT;3;14:44:46.775;14:44:46.775;9:53.964;J;AT                                                          ;0000AT                                                          ;;AT      ;593,964;            ;3
109;Caba;Caba;Ralph;ITC-C1100342;Sprungmann;Oliver;ITC-C1081906;Mohr;Michael;ITC-C1042873;;;;DEU ;;PRO-AM                                                      ;Ford Mustang GT;4;15:00:58.902;15:00:58.902;16:12.127;N;AT                                                          ;0000AT                                                          ;;AT      ;972,127;            ;1
109;Caba;Caba;Ralph;ITC-C1100342;Sprungmann;Oliver;ITC-C1081906;Mohr;Michael;ITC-C1042873;;;;DEU ;;PRO-AM                                                      ;Ford Mustang GT;5;15:12:14.329;15:12:14.329;11:15.427;N;AT                                                          ;0000AT                                                          ;;AT      ;675,427;            ;1
112;Krum;Krumscheid;Uwe;ITC-C1059818;Brink;Danny;ITC-C1133720;Dralle;Jens;ITC1098705;Fischer;Markus;JA1873;DEU ;Bulldog Racing;PRO-AM                                                      ;MINI John Cooper Works;1;14:28:20.142;14:28:20.142;10:41.733;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;641,733;            ;3
112;Krum;Krumscheid;Uwe;ITC-C1059818;Brink;Danny;ITC-C1133720;Dralle;Jens;ITC1098705;Fischer;Markus;JA1873;DEU ;Bulldog Racing;PRO-AM                                                      ;MINI John Cooper Works;2;14:38:40.656;14:38:40.656;10:20.514;J;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;620,514;            ;3
112;Krum;Krumscheid;Uwe;ITC-C1059818;Brink;Danny;ITC-C1133720;Dralle;Jens;ITC1098705;Fischer;Markus;JA1873;DEU ;Bulldog Racing;PRO-AM                                                      ;MINI John Cooper Works;3;14:57:03.289;14:57:03.289;10:41.536;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;641,536;            ;1
