INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER1_SPONSORLIZENZ;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER2_SPONSORLIZENZ;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER3_SPONSORLIZENZ;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER4_SPONSORLIZENZ;FAHRER4_RUNDEN;FAHRER4_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0019;264;Cala;Cup 3                                                       ;0000Cup 3                                                       ;Cup 3;;2;2;Calamia;Mauro;Laupen;;234;CHE;J;;1;27:09.148;Jacoma;Ivan;Claro;;CH 1162;CHE;J;;;00.000;Pampanini;Roberto;Herrliberg;;1748;CHE;J;;;00.000;Riemer;Kai;Filderstadt;;1064212;DEU;J;;;00.000;    ;SCHMICKLER Performance powered by RAVENOL;PRO-AM                                                      ;Porsche 718 Cayman GT4 Clubspo;19;1;;;3;16.994;+05.255;1;9:39.476;9:39.476;Y;59.118;05.255;;;11:27:09;2159;11:27:09;157.661;;5;0;2;3;0;264;9:39.476;Calamia/Jacoma/Pampanini/Riemer;Calamia/Jacoma/Pampanini/Riemer;157.661;;2;29;14;15;123;9:22.482;Bünnagel/Kaya/Piana/Stursberg;Bünnagel/Kaya/Piana/Stursberg;162.424;111.36 ;9:39.476;1;2;;0;;;;;;            ;Porsche                       ;1;;;0;1;2;0;
0020;79;Sari;SP 10                                                       ;0000SP 10                                                       ;SP 10;;2;2;Sari;Hakan;Lokeren;;912237;BEL;J;;;00.000;Sari;Recep;Lokeren;;912238;BEL;J;;;00.000;Yücesan;Ersin;Istanbul;;10104223896;TUR;J;;1;18:00.518;;;;;;;;;;00.000;    ;;PRO-AM                                                      ;BMW M4 GT4 (Evo2021);20;1;;;4;23.444;+06.450;1;9:45.926;9:45.926;Y;1:05.568;06.450;;;11:18:00;1541;11:18:00;155.925;;4;0;3;1;0;79;9:45.926;Sari/Sari/Yücesan;Sari/Sari/Yücesan;155.925;;2;29;14;15;123;9:22.482;Bünnagel/Kaya/Piana/Stursberg;Bünnagel/Kaya/Piana/Stursberg;162.424;112.60 ;9:45.926;1;2;;0;;;;;;            ;BMW                           ;3;;;0;1;2;0;
0021;262;Dolf;Cup 3                                                       ;0000Cup 3                                                       ;Cup 3;;2;2;Dolfen;Heinz;Jülich;;ITC-C1178336;DEU;J;;;00.000;Cloet;Tom;Knokke;;ITB700595;BEL;J;;;00.000;Louisoder;Oliver;Trier;;ITC1062777;DEU;J;;;00.000;Bohr;Daniel;wasserbillig;;ITC-CA1353;DEU;J;;1;20:06.229;    ;Team Mathol Racing e.V.;PRO-AM                                                      ;Porsche 718 Cayman GT4 Clubspo;21;2;11.580;+11.580;5;28.574;+05.130;1;9:51.056;9:51.056;Y;1:10.698;05.130;;;11:20:06;1695;11:20:06;154.572;;5;0;2;3;0;264;9:39.476;Calamia/Jacoma/Pampanini/Riemer;Calamia/Jacoma/Pampanini/Riemer;157.661;;2;29;14;15;123;9:22.482;Bünnagel/Kaya/Piana/Stursberg;Bünnagel/Kaya/Piana/Stursberg;162.424;113.59 ;9:51.056;2;2;17:46.679;2;;;;;;Zimmermann B;Porsche                       ;4;;;0;1;2;0;
0022;13;Albr;AT                                                          ;0000AT                                                          ;AT;;2;2;Albrecht;Bernd;Hirrlingen;;ITC-C1071495;DEU;J;;;00.000;Asch;Sebastian;Ammerbuch;;ITC-C1097845;DEU;J;;1;18:08.109;Ecke;Kurt;Rot am See;;ITC-C1037978;DEU;J;;;00.000;Sczepansky;Andreas;Waiblingen;;ITC-C1113392;DEU;J;;;00.000;    ;;PRO                                                         ;Dodge  Viper CC GT3;22;1;;;6;32.714;+04.140;1;9:55.196;9:55.196;Y;1:14.838;04.140;;;11:18:08;1550;11:18:08;153.497;;3;0;2;1;0;13;9:55.196;Albrecht/Asch/Ecke/Sczepansky;Albrecht/Asch/Ecke/Sczepansky;153.497;;2;29;14;15;123;9:22.482;Bünnagel/Kaya/Piana/Stursberg;Bünnagel/Kaya/Piana/Stursberg;162.424;114.38 ;9:55.196;1;2;;0;;;;;;            ;Dodge                         ;2;;;0;1;2;0;
0023;15;van ;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Van der Linde;Kelvin;Kempten;;INT-B 03727;DEU;J;;;00.000;Vanthoor;Dries;Hasselt;;903381;BEL;J;;;00.000;Vervisch;Frederic;middelkerke;;ITBB900475;BEL;J;;1;40:20.784;Frijns;Robin;Lanaken;;30271;BEL;J;;;00.000;    ;Audi Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;23;15;1:19.851;+31.638;17;1:19.851;+31.638;1;10:00.209;10:00.209;Y;1:19.851;05.013;;;11:40:20;2785;11:40:20;152.215;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;115.35 ;10:00.209;1;2;;0;;;;;;            ;Audi                          ;3;;;0;0;1;0;
0024;300;Vazq;VT3                                                         ;0000VT3                                                         ;VT3;;3;3;Vazquez;Marcos Adolfo;Santiago del Estero;;AR1274022;ARG;J;;1;46:47.845;Max Walter von Bär;;Wettenberg;;ITC-C1111863;DEU;J;;;00.000;Held;Thorsten;Bad Dürrheim Sunthausen;;ITC-C1127621;DEU;J;;;00.000;Trinius;Matthias;Mechernich;;ITC-C1132408;DEU;J;;;00.000;    ;Team Mathol Racing e.V.;PRO-AM                                                      ;Porsche Cayman 718 S;24;1;;;1;;;1;10:17.195;10:17.195;Y;1:36.837;16.986;;;11:46:47;2992;11:46:47;148.026;;1;0;1;0;0;300;10:17.195;Vazquez/Max Walter von Bär/Held/Trinius;Vazquez/Max Walter von Bär/Held/Trinius;148.026;;3;19;9;10;300;10:17.195;Vazquez/Max Walter von Bär/Held/Trinius;Vazquez/Max Walter von Bär/Held/Trinius;148.026;118.61 ;10:17.195;2;1;2:19.541;2;;;;;;Zimmermann B;Porsche                       ;1;;;0;1;3;0;
0025;81;Duma;SP 10                                                       ;0000SP 10                                                       ;SP 10;;2;2;Dumarey;Guido;Deurle;;INTB901338;BEL;J;;;00.000;Walker;Alexander;Brig;;IT C-C CH 308;CHE;J;;;00.000;Sokolovskiy;Yevgen;Düsseldorf;;ITB1135122;DEU;J;;;00.000;Hess;Michael;Kreuzgau;;ITC-C1059404;DEU;J;;;00.000;;PROsport Racing GmbH;PRO-AM                                                      ;Aston Martin Vantage AMR GT4;25;2;35.662;+35.662;7;59.106;+26.392;1;10:21.588;10:21.588;Y;1:41.230;04.393;;;11:16:09;1378;11:16:09;146.980;;4;0;3;1;0;79;9:45.926;Sari/Sari/Yücesan;Sari/Sari/Yücesan;155.925;;2;29;14;15;123;9:22.482;Bünnagel/Kaya/Piana/Stursberg;Bünnagel/Kaya/Piana/Stursberg;162.424;119.45 ;10:21.588;;;;;;;;;;Christoph Br;Aston Martin                  ;1;;;0;1;2;0;
0026;162;Amwe;Cup-X                                                       ;0000Cup-X                                                       ;Cup-X;;2;2;Amweg;Manuel;Seon;;ITC-C985;CHE;J;;;00.000;Sandtler;Tim;Bochum;;ITC-C1045728;DEU;J;;;00.000;Wolf;Florian;Linden;;ITC-C1079940;DEU;J;;;00.000;Adorf;Dirk;Michelbach;;ITC-C1063471;DEU;J;;1;22:36.217;    ;Teichmann Racing GmbH;PRO-AM                                                      ;KTM X-BOW GTX;26;2;48.349;+48.349;8;1:00.088;+00.982;1;10:22.570;10:22.570;Y;1:42.212;00.982;;;11:22:36;1869;11:22:36;146.748;;3;0;2;1;0;161;9:34.221;Brodmerkel/Kraihamer/Schöll/Still;Brodmerkel/Kraihamer/Schöll/Still;159.104;;2;29;14;15;123;9:22.482;Bünnagel/Kaya/Piana/Stursberg;Bünnagel/Kaya/Piana/Stursberg;162.424;119.64 ;10:22.570;2;2;2:34.429;2;;;;;;            ;KTM                           ;3;;;0;1;2;0;
0027;332;Will;VT2 Front                                                   ;0000VT2 Front                                                   ;VT2 Fron;;3;3;Willhardt;Marcus;Weilmünster;;ITC-C1148335;DEU;J;;3;47:05.147;Bohrer;Michael;Merzig;;ITC-C1067879;DEU;J;;;00.000;Epp;Stephan;Wuppertal;;ITC-C1049137;DEU;J;;;00.000;Holthaus;Gerrit;Lüdenscheid;;ITC-C1126658;DEU;J;;;00.000;    ;Hyundai Driving Experience;PRO-AM                                                      ;Hyundai  i30N;27;1;;;2;13.810;+13.810;3;10:31.005;10:31.005;Y;1:50.647;08.435;;;11:47:05;2998;11:47:05;144.786;;3;0;2;1;0;332;10:31.005;Willhardt/Bohrer/Epp/Holthaus;Willhardt/Bohrer/Epp/Holthaus;144.786;;3;19;9;10;300;10:17.195;Vazquez/Max Walter von Bär/Held/Trinius;Vazquez/Max Walter von Bär/Held/Trinius;148.026;121.26 ;10:31.005;1;4;;0;;;;;;            ;Hyundai                       ;1;;;0;2;3;0;
0028;85;Meen;SP 10                                                       ;0000SP 10                                                       ;SP 10;;2;2;Meenen;Martin;Emmerich;;ITC-C1147961;DEU;J;;;00.000;Müller;Marco;Hamburg;;ITC-C1172120;DEU;J;;;00.000;Palluth;Carsten;Hohen Neuendorf;;ITC-C1050882;DEU;J;;;00.000;Wahl;Tobias;Remagen;;ITC-C1198361;DEU;J;;1;20:59.553;;BLACK FALCON Team TEXTAR;PRO-AM                                                      ;Porsche 718 Cayman GT4 RS CS;28;3;46.317;+10.655;9;1:09.761;+09.673;1;10:32.243;10:32.243;Y;1:51.885;01.238;;;11:20:59;1753;11:20:59;144.503;;4;0;3;1;0;79;9:45.926;Sari/Sari/Yücesan;Sari/Sari/Yücesan;155.925;;2;29;14;15;123;9:22.482;Bünnagel/Kaya/Piana/Stursberg;Bünnagel/Kaya/Piana/Stursberg;162.424;121.50 ;10:32.243;1;2;;0;;;;;;            ;Porsche                       ;4;;;0;0;2;0;
